FULL ALIGNMENT START: 2026-02-11T13:38:26+00:00
Source: APGI-cmy/maturion-foreman-governance (main branch)
Note: Firewall removed, full canonical access restored

2026-02-11T13:38:26+00:00: CANON_INVENTORY.json fetched (v1.0.0, 102 PUBLIC_API items)
2026-02-11T13:38:26+00:00: governance/canon/AGENT_CANONICAL_CONTEXT_SYNCHRONISATION_PROTOCOL.md layered down (SHA256: 974023b3a5a99b0ef30b40c930a292647d732cc9091b84e5689328f151fa97c3, Size: 29871 bytes)
2026-02-11T13:38:26+00:00: governance/canon/AGENT_CLASS_SPECIFIC_GATE_PROTOCOLS.md layered down (SHA256: fba2f30452b1ffa4a76a385ddaf93fb70440af18f9921ac49be99478b8edfa99, Size: 20344 bytes)
2026-02-11T13:38:26+00:00: governance/canon/AGENT_CONTRACT_MANAGEMENT_PROTOCOL.md layered down (SHA256: ebf75726638d06df25bd101d94c33d2c460e111efdc2f07bfd05e1fdc0218891, Size: 28639 bytes)
2026-02-11T13:38:27+00:00: governance/canon/agent-contracts-guidance/AGENT_CONTRACT_MIGRATION_GUIDE.md layered down (SHA256: d3f2e17da23733e5f5e27a71bb0c5d0071da1d1c10fab73a23fbd902d60fe2d9, Size: 9776 bytes)
2026-02-11T13:38:27+00:00: governance/canon/AGENT_CONTRACT_PROTECTION_PROTOCOL.md layered down (SHA256: de6777e1cbffbf10c7bdce2f5b0b13dd2b1df053f46bd6e1428d4357480449d7, Size: 30838 bytes)
2026-02-11T13:38:27+00:00: governance/canon/agent-contracts-guidance/AGENT_FILE_BINDING_REQUIREMENTS.md layered down (SHA256: 8ef8716b2228c651572aa8880cc17f4d9d05715511f21920fe67396755514e7f, Size: 21040 bytes)
2026-02-11T13:38:27+00:00: governance/canon/agent-contracts-guidance/AGENT_ONBOARDING_QUICKSTART.md layered down (SHA256: c105ef35fe27174905d4af5587b93d99f399e2739f85600959d8153024aa35fb, Size: 17668 bytes)
2026-02-11T13:38:27+00:00: governance/canon/AGENT_RECRUITMENT.md layered down (SHA256: 963eed45e027e02a3ae595d5043ec09b4e604203eec71f7de790bbd4d0675e18, Size: 5812 bytes)
2026-02-11T13:38:27+00:00: governance/canon/AGENT_RECRUITMENT_AND_CONTRACT_AUTHORITY_MODEL.md layered down (SHA256: b186485a224a5667b3468a3dd72238465fb1b8335f0d6007cf3fe7337b98b7ca, Size: 29697 bytes)
2026-02-11T13:38:28+00:00: governance/canon/AGENT_RIPPLE_AWARENESS_OBLIGATION.md layered down (SHA256: af119046b2fca941581c120912e8b0aa8d12ee1165ed76b1248fe534584e8162, Size: 19859 bytes)
2026-02-11T13:38:28+00:00: governance/canon/AGENT_ROLE_GATE_APPLICABILITY.md layered down (SHA256: 61a672972df09058930880babef70eba2e6ee3fc3efb2df764772c17c785fbe2, Size: 22952 bytes)
2026-02-11T13:38:28+00:00: governance/policy/APP_DESCRIPTION_REQUIREMENT_POLICY.md layered down (SHA256: 8aa9b82cd1100210bdb75b1f6f27be62e998f27e176c83f0ab1418a13f033ab7, Size: 14002 bytes)
2026-02-11T13:38:28+00:00: governance/canon/APP_STARTUP_REQUIREMENTS_DECLARATION.md layered down (SHA256: 758eb2210a3f93fea7acbcfcab31e7852ee22d964647572dd514b0179e118287, Size: 42109 bytes)
2026-02-11T13:38:28+00:00: governance/canon/ARCHITECTURE_COMPLETENESS_REQUIREMENTS.md layered down (SHA256: 1db9160d2ee2a2abc321b0e9c7b98311e5012b268e6e974fc76c8a758e26d51d, Size: 36602 bytes)
2026-02-11T13:38:28+00:00: governance/policy/ARCHITECTURE_TEST_TRACEABILITY_METHODOLOGY.md layered down (SHA256: 428f63b3173397878800bd996d30b80b434e251c711665025c044971d967d566, Size: 15129 bytes)
2026-02-11T13:38:29+00:00: governance/policy/AUTOMATED_DEPRECATION_DETECTION_GATE.md layered down (SHA256: eab436d8df86923e3075f9cbe6026f4a09e8e5d0eff774ac154ec1dc63119265, Size: 14472 bytes)
2026-02-11T13:38:29+00:00: governance/canon/BOOTSTRAP_EXECUTION_LEARNINGS.md layered down (SHA256: 32cd8e7f71484ad45b82f66a3854f0546d0d58b4bb8750199d8163eac429d4e9, Size: 155708 bytes)
2026-02-11T13:38:29+00:00: governance/canon/BRANCH_PROTECTION_ENFORCEMENT.md layered down (SHA256: c34600f193a8f729d0642ff11b04a7fbaec361f4a80e9c29f8cc3e940160dad9, Size: 28273 bytes)
2026-02-11T13:38:29+00:00: governance/canon/BUILDER_CONTRACT_BINDING_CHECKLIST.md layered down (SHA256: 1294da29d84fb47af3fe7367068c635a277fd4575134439dc24c77167a22e67f, Size: 53621 bytes)
2026-02-11T13:38:29+00:00: governance/canon/BUILDER_FIRST_PR_MERGE_MODEL.md layered down (SHA256: ca9d2c96be68a944a9a04ed504e2c3faf1aed8b3cd70acc82d0be09cb4b8a0cf, Size: 16862 bytes)
2026-02-11T13:38:29+00:00: governance/policy/BUILDER_QA_HANDOVER_POLICY.md layered down (SHA256: dffdaddb554d1b9486122bcf1c8b03b6331943aadc390c8131104ff6587f874b, Size: 17870 bytes)
2026-02-11T13:38:30+00:00: governance/canon/BUILD_EFFECTIVENESS_STANDARD.md layered down (SHA256: 36351307c8d6b7b6259000f6f22ae4712b3c04e2b45d959b6ca3ba486e4116e8, Size: 1695 bytes)
2026-02-11T13:38:30+00:00: governance/canon/BUILD_INTERVENTION_AND_ALERT_MODEL.md layered down (SHA256: b74ffd7421f314df6efb882c383b0a24de872eb8a005dd2596632471160491db, Size: 46534 bytes)
2026-02-11T13:38:30+00:00: governance/canon/BUILD_TREE_EXECUTION_MODEL.md layered down (SHA256: 01a65186bf0b1bd9b17ef330a554476bffe1764c0350e9f366515d640afcc9bf, Size: 39040 bytes)
2026-02-11T13:38:30+00:00: governance/canon/CANON_INVENTORY_INTEGRITY_REQUIREMENTS.md layered down (SHA256: 1134f4a8e60ce2cc3f877b64bc4b2c749d113252b2cb46a8a441e92c52abe5ef, Size: 1614 bytes)
2026-02-11T13:38:30+00:00: governance/canon/CASCADING_FAILURE_CIRCUIT_BREAKER.md layered down (SHA256: e4f666fef38bf0173aa6ac3634316ce67803a9d5585d4a7bab979be18af5bf93, Size: 1035 bytes)
2026-02-11T13:38:30+00:00: governance/canon/CI_CONFIRMATORY_NOT_DIAGNOSTIC.md layered down (SHA256: 75ee0e772077aa063d807257d8f51844e0e6651a6bc7d350723073e991a06aeb, Size: 22625 bytes)
2026-02-11T13:38:30+00:00: governance/canon/COGNITIVE_CAPABILITY_ORCHESTRATION_MODEL.md layered down (SHA256: d9d45cb972b7faa0c93ffff33cc16284f88690447b54cc00d1dea0494ebd8980, Size: 38694 bytes)
2026-02-11T13:38:31+00:00: governance/canon/COMBINED_TESTING_PATTERN.md layered down (SHA256: 65b47fef2b6ae0a5f60a1eddaf146e29b81f07309cb0808f8e5dc17b198cbfb1, Size: 23260 bytes)
2026-02-11T13:38:31+00:00: governance/canon/COMMISSIONING_EVIDENCE_MODEL.md layered down (SHA256: 0b0d89ba3faa8b5434876f8ef1c827d4f1bd4a85fad20853ee69e424ec57030f, Size: 35978 bytes)
2026-02-11T13:38:31+00:00: governance/canon/COMPLIANCE_AND_STANDARDS_GOVERNANCE.md layered down (SHA256: 8f0b0af2657708237853beede03871ad85a3337015aafdd6aeb9a51e686f6054, Size: 5315 bytes)
2026-02-11T13:38:31+00:00: governance/canon/CONSTITUTIONAL_SANDBOX_PATTERN.md layered down (SHA256: 25e88a801581b7358abd50b36d4c23a913f803b622cafc54078eee6a85d8f1d3, Size: 21095 bytes)
2026-02-11T13:38:31+00:00: governance/canon/CONSTITUTIONAL_SANDBOX_ROLLOUT_GUIDANCE.md layered down (SHA256: 4004262d4a0e3b49e04be6318f8843dcf3f4d30e8b8b901463f8fa31386378ae, Size: 15503 bytes)
2026-02-11T13:38:31+00:00: governance/canon/CROSS_REPOSITORY_LAYER_DOWN_PROTOCOL.md layered down (SHA256: 953b3a49327fd51eeaf81d1f68d3228b595a7ec5e165d3f207de70feb7569de4, Size: 21399 bytes)
2026-02-11T13:38:32+00:00: governance/canon/CROSS_REPOSITORY_RIPPLE_AWARENESS_MODEL.md layered down (SHA256: 43105c47f70c4d455d6cf5a104f5a47224c882d3fc25dd1b9c3225df7a0ce61d, Size: 25431 bytes)
2026-02-11T13:38:32+00:00: governance/canon/CROSS_REPO_RIPPLE_TRANSPORT_PROTOCOL.md layered down (SHA256: d3775794a67fcb35ef2ccc2d663e844f09bcd7985191d6ba03f8a81c3b167b7b, Size: 2433 bytes)
2026-02-11T13:38:32+00:00: governance/canon/DEFECT_RESOLUTION_MAINTENANCE_CANON.md layered down (SHA256: fd5e4b627542c52220e689391cb33bfa368f94677001f5dd1461ea2226e9dd00, Size: 45658 bytes)
2026-02-11T13:38:32+00:00: governance/canon/DELEGATION_INSTRUCTION_AND_AUDIT_MODEL.md layered down (SHA256: ff6adb194e1ffd213d489a0b388c3543de8cdd22d8c2cee5f798d3af511c2bd3, Size: 28528 bytes)
2026-02-11T13:38:32+00:00: governance/canon/DOMAIN_EVOLUTION_RULES.md layered down (SHA256: 0d2e3cfde5b26dbbbddf423ca932b278488b25481cc7cf4f83bc7107571003b2, Size: 3478 bytes)
2026-02-11T13:38:32+00:00: governance/canon/DOMAIN_OWNERSHIP_ACCOUNTABILITY.md layered down (SHA256: 2fa1b2a8dbc0d2359a99d6acbd5db0e3695751b6d46e5039d1c4e505ef0e5d39, Size: 3449 bytes)
2026-02-11T13:38:32+00:00: governance/canon/DOMAIN_STATE_ENFORCEMENT_RULE.md layered down (SHA256: 19d9d8436892316e2585abf254f1618c62b8b80c575e3f4dc923626fa2c4af46, Size: 397 bytes)
2026-02-11T13:38:33+00:00: governance/canon/EVIDENCE_ARTIFACT_BUNDLE_STANDARD.md layered down (SHA256: 6902b99f9790b097d84574e5d11b66be8c8b09a4e9ca656b52e790700e2b0938, Size: 1648 bytes)
2026-02-11T13:38:33+00:00: governance/canon/EXECUTION_BOOTSTRAP_PROTOCOL.md layered down (SHA256: cba7c0f90402f9dd14e15fea9bdcd9d4548111222ccc44089714282926894c49, Size: 32257 bytes)
2026-02-11T13:38:33+00:00: governance/canon/EXECUTION_BOOTSTRAP_PROTOCOL_MONITORING_AND_ENFORCEMENT.md layered down (SHA256: f16bd300b7a32964772198b4201c9a5077bd41be0b74b5e758131b4d81689d2c, Size: 23701 bytes)
2026-02-11T13:38:33+00:00: governance/canon/FAILURE_PROMOTION_RULE.md layered down (SHA256: 14c86a0ef3180c7eeca8920ca5e88b8d016bd29dd2dbe3b9e8a8a7f71363179f, Size: 1798 bytes)
2026-02-11T13:38:33+00:00: governance/canon/FM_BUILDER_APPOINTMENT_PROTOCOL.md layered down (SHA256: 7506d757bef352ed727fc7435c02e318d51c37ae4f91d49df8b828f58576437d, Size: 42786 bytes)
2026-02-11T13:38:33+00:00: governance/policy/FM_MATURION_DELEGATED_ACTION_POLICY.md layered down (SHA256: 5668a48a689ff7f5dbaeebf460f11d4ca96ff7e9e4b8620f18f990ba37e3c14c, Size: 32758 bytes)
2026-02-11T13:38:34+00:00: governance/canon/FM_MERGE_GATE_MANAGEMENT_PROTOCOL.md layered down (SHA256: c04a33f5e452efbd421d4f1320b5e046031e3fd27f16b83b3cb903d010b9b181, Size: 22367 bytes)
2026-02-11T13:38:34+00:00: governance/canon/FM_PREAUTH_CHECKLIST_CANON.md layered down (SHA256: 6f48a49354822e12cfcfb3c2a9b2fc01db4984efb8a1f3bea6057bf49f5dec17, Size: 27737 bytes)
2026-02-11T13:38:34+00:00: governance/canon/FM_RUNTIME_ENFORCEMENT_AND_AWARENESS_MODEL.md layered down (SHA256: 7da25ae4e5736b9074c5d1a6254f89c551b790a905282f2cf7a0b09d1ffa3b6a, Size: 61335 bytes)
2026-02-11T13:38:34+00:00: governance/canon/FOREMAN_AUTHORITY_AND_SUPERVISION_MODEL.md layered down (SHA256: dacc9285c58c3b467a39cba5e235c4211ace6868a695bdf9f62260eb8be0b754, Size: 36995 bytes)
2026-02-11T13:38:34+00:00: governance/canon/FPC_REPOSITORY_LAYERDOWN_GUIDE.md layered down (SHA256: 0986945d35500a0986719ab92a4a6baf3e5853698c4c4165b02662be4e19958b, Size: 30666 bytes)
